subsecao,nome_subsecao,item,requisito,orientacoes,sugestao_evidencia
2.1,Jornada Do Paciente,1,"Dispor de procedimentos e protocolos formalizados, padronizados e monitorados para o atendimento ao paciente/usuário durante a realização de exames de análises clínicas, assegurando organização, acolhimento, acessibilidade e eficiência operacional.","O processo deve contemplar todas as etapas de interação com o paciente, desde o agendamento até a liberação do exame, garantindo comunicação clara, identificação segura e atendimento inclusivo. Deve incluir: Orientações prévias ao exame, como preparo, restrições alimentares, uso de medicamentos e tempo de jejum, fluxo de agendamento e acolhimento, com priorização de casos especiais e emergenciais, quando aplicável, procedimentos de identificação inequívoca dos pacientes e das amostras, com dupla checagem, quando necessário, cadastro correto dos exames, assegurando rastreabilidade e integridade das informações no sistema, atenção diferenciada a públicos específicos e vulneráveis, incluindo idosos, gestantes, menores de idade, pessoas com deficiência, pessoas em privação de liberdade e grupos amparados por legislação específica, monitoramento da demanda e capacidade operacional, avaliando tempos de espera, índices de retrabalho e recursos disponíveis, coleta e análise das manifestações dos usuários, como reclamações, elogios e sugestões, para melhoria contínua dos processos.","Procedimentos operacionais padronizados de atendimento, identificação e cadastro de pacientes/exames. Registros e análises de manifestações de usuários (elogios, reclamações, sugestões). Dados do atendimento, como tempo médio de espera, tempo de resposta e índice de retrabalho. Fluxogramas de agendamento, acolhimento e coleta. Registros de orientações fornecidas aos pacientes e de capacitação da equipe operacional. Relatórios de monitoramento da demanda e uso de recursos disponíveis."
2.1,Jornada Do Paciente,2,"Estabelecer procedimentos padronizados, formais e rastreáveis que assegurem o atendimento prioritário, a execução e a liberação segura dos exames laboratoriais solicitados em caráter de urgência e emergência, garantindo agilidade, precisão e suporte oportuno à decisão clínica.","O processo deve contemplar todas as etapas do ciclo laboratorial, desde a identificação da solicitação até a entrega do resultado, assegurando que os exames de urgência e emergência sejam claramente diferenciados e priorizados. Deve incluir: Critérios técnicos e clínicos para classificação dos exames de urgência e emergência, fundamentados em diretrizes reconhecidas; identificação diferenciada das solicitações e das amostras biológicas (exemplos: etiquetas, cores, códigos ou sinalização eletrônica); fluxo de coleta, transporte, triagem e processamento prioritário, garantindo que as amostras críticas tenham acesso rápido ao setor analítico, definição de prazos máximos de liberação para exames urgentes, conforme o tipo de análise e o risco clínico associado; registros rastreáveis desde o recebimento até a liberação do resultado; critérios para comunicação imediata de resultados críticos ou incompatíveis com a vida; mecanismos de monitoramento contínuo dos tempos de resposta; capacitação da equipe sobre os fluxos de urgência e emergência e comunicação com as áreas assistenciais.",Fluxo ou procedimento formalmente descrito para o proces­samento e liberação de exames de urgência e emergência. Registros de identificação diferenciada das amostras e solicitações prioritárias. Relatórios de monitoramento dos tempos de resposta. Registros de comunicação de resultados críticos e confirmação de recebimento. Manifestações de pacientes e usuários internos sobre o atendimento em urgência. Registros de treinamentos e capacitações sobre o protocolo de urgência e emergência.
2.1,Jornada Do Paciente,3,"Estabelecer procedimentos formalizados e atualizados, baseados em boas práticas laboratoriais e evidências científicas, que orientem a coleta, identificação e manejo dos diversos tipos de materiais biológicos, garantindo padronização, rastreabilidade e qualidade dos resultados laboratoriais.","As instruções de coleta devem ser claramente definidas, documentadas e amplamente divulgadas às partes interessadas, equipe técnica, usuários internos e externos, e pacientes. Devem contemplar: Critérios técnicos para coleta, identificação e conservação das amostras, conforme o tipo de material (sangue, urina, fezes, secreções, líquidos corporais, swabs, entre outros); requisitos de preparo do paciente, incluindo jejum, uso de medicamentos, dieta e restrições específicas; critérios para rejeição e recoleta de amostras (exemplos: hemólise, contaminação, volume insuficiente, identificação incorreta); orientações sobre transporte, armazenamento e tempo máximo entre coleta e análise, assegurando estabilidade das amostras; padronização de rotulagem e identificação adequada com dupla checagem, prevenindo trocas e erros; canais de comunicação acessíveis aos usuários e prescritores, com informações atualizadas sobre preparo e coleta; capacitação periódica das equipes de coleta, incluindo atualização sobre novas técnicas e biossegurança; monitoramento das não conformidades, notificações de inadequações e índices de recoleta.","Procedimentos operacionais padronizados para coleta de amostras biológicas. Instruções de coleta formalizadas e divulgadas aos pacientes e prescritores (impresso, site, aplicativo ou QR Code). Registros de treinamento e capacitação das equipes de coleta e triagem. Notificações de inadequações e de recoletas realizadas, com análise de causa e plano de ação."
2.1,Jornada Do Paciente,4,"Estabelecer, implementar e disseminar procedimentos padronizados para o preparo dos pacientes na realização dos exames laboratoriais, considerando as especificidades dos pacientes agendados e internados.","O serviço de análises clínicas deve garantir que os processos de preparo para exames sejam claramente definidos, atualizados com base em evidências científicas e diferenciados conforme o perfil do paciente: Pacientes agendados: devem receber orientações prévias e acessíveis sobre o preparo necessário, como jejum, uso de medicamentos, dieta, consumo de líquidos ou restrições específicas; as informações devem ser disponibilizadas em linguagem clara, por meio de canais apropriados (presencial, digital, impresso ou telefônico), assegurando a compreensão do paciente e/ou responsável; pacientes internados: o preparo deve estar integrado ao plano de cuidados, em articulação com a equipe assistencial, garantindo que as condições clínicas, terapêuticas e prescrições sejam respeitadas; o laboratório deve manter comunicação efetiva com enfermagem e corpo clínico para assegurar que o preparo ocorra de forma adequada e segura; as instruções devem priorizar o cuidado centrado no paciente, respeitando suas condições, compreensão e necessidades específicas, minimizando desconfortos e prevenindo erros que possam comprometer a qualidade dos resultados.","Procedimentos operacionais padronizados de preparo para exames, diferenciados por perfil de paciente. Instruções de preparo disponibilizadas aos pacientes (impressas, digitais, site ou aplicativo). Registros de comunicação das orientações aos pacientes e equipes assistenciais. Protocolos de integração entre o laboratório, enfermagem e corpo clínico. Registros de não conformidades relacionadas ao preparo inadequado e respectivas ações corretivas. Registros de treinamentos e capacitações da equipe sobre preparo e comunicação segura."
2.1,Jornada Do Paciente,5,"Estabelecer, implementar e garantir o uso do TCLE (Termo de Consentimento Livre e Esclarecido) para a realização de exames laboratoriais que exijam autorização prévia do paciente, assegurando a compreensão e o respeito aos seus direitos.","O laboratório deve dispor de procedimento formal que defina quando e como o TCLE (Termo de Consentimento Livre e Esclarecido) deve ser aplicado, garantindo que o paciente, ou seu representante legal, receba informações claras, compreensíveis e adequadas sobre o exame a ser realizado, seus objetivos, riscos potenciais, desconfortos, alternativas disponíveis e medidas de confidencialidade dos resultados. O processo de consentimento deve ser livre de coerção, documentado, e adaptado à condição clínica e cognitiva do paciente (exemplos: pacientes pediátricos, idosos, pessoas com deficiência, ou sob cuidados intensivos). Nos casos de pacientes internados, o consentimento deve ser integrado ao prontuário, mantendo rastreabilidade e alinhamento com a equipe multiprofissional. O TCLE (Termo de Consentimento Livre e Esclarecido) deve refletir o compromisso com o cuidado centrado no paciente, assegurando o respeito à autonomia, à privacidade e à dignidade humana.","Procedimento descrito sobre os critérios e fluxos de obtenção do TCLE (Termo de Consentimento Livre e Esclarecido). Modelos de Termo de Consentimento utilizados, revisados e atualizados conforme legislação vigente. Registros de consentimentos arquivados ou integrados ao sistema de informação do laboratório/prontuário. Evidências de treinamento das equipes envolvidas no processo de consentimento. Registros de comunicação e orientações fornecidas ao paciente e/ou responsável."
2.1,Jornada Do Paciente,6,"Estabelecer e implementar uma sistemática que assegure a rastreabilidade, conservação, estabilidade, armazenamento e descarte dos materiais biológicos durante todas as etapas do processo.","A sistemática deve contemplar todas as fases do ciclo da amostra, desde a coleta até o descarte, garantindo: Rastreabilidade completa das amostras, permitindo iden­tificar origem, responsável, data, hora e local em cada etapa do processo; conservação e estabilidade adequadas, de acordo com as características de cada tipo de material biológico e com as recomendações técnicas e normativas; condições adequadas de armazenamento, considerando tempo de guarda, temperatura, local apropriado, identificação e controle de acesso; práticas seguras de descarte, em conformidade com as normas de biossegurança e com o PGRSS (Programa de Gerenciamento de Resíduos de Serviços de Saúde); regis­tros e monitoramento contínuos que permitam rastrear falhas, não conformidades e ações corretivas implementadas. A gestão das amostras deve respeitar os princípios do cuidado centrado no paciente, assegurando a integridade do material, a confiabilidade dos resul­tados e a confidencialidade das informações associadas.","Procedimento formalizado e implantado que descreva a sistemática de rastreabilidade, conservação, armazenamento e descarte das amostras. Registros documentais que demonstrem a rastreabilidade integral das amostras, desde a coleta até o descarte. Registros de controle de temperatura e tempo de armazenamento. Comprovantes de destinação final de resíduos biológicos, conforme o PGRSS (Programa de Gerenciamento de Resíduos de Serviços de Saúde). Registros de não conformidades e ações corretivas relacionadas à conservação ou descarte. Treinamentos documentados da equipe sobre rastreabilidade e biossegurança."
2.1,Jornada Do Paciente,7,"Estabelecer e implementar procedimentos específicos e seguros para o transporte de materiais biológicos, assegurando sua integridade, estabilidade e rastreabilidade durante todo o percurso.","O processo de transporte de materiais biológicos deve considerar: As condições adequadas de armazenamento, tempo e temperatura, de acordo com o tipo de amostra e os requisitos analíticos dos exames; embalagem e identificação corretas, conforme normas de biossegurança e legislação vigente; a existência de instruções e planos de ação para situações de emergência ou acidentes durante o transporte, incluindo medidas de contenção, registro e comunicação; a validação e monitoramento periódicos das condições de transporte, assegurando que as amostras cheguem em condições ideais para análise, a rastreabilidade integral das amostras desde a coleta até o recebimento pelo laboratório, de forma a garantir segurança, confiabilidade dos resultados e respeito ao cuidado centrado no paciente.","Procedimento descrito e implantado para o transporte de materiais biológicos. Registros de validação e monitoramento das condições de transporte (tempo, temperatura, integridade). Evidências de rastreabilidade das amostras encaminhadas (planilhas, sistemas, registros de recebimento). Protocolos de resposta a incidentes e acidentes durante o transporte. Registros de notificações de eventos e não conformidades, com respectivas ações corretivas. Treinamentos documentados da equipe envolvida no processo de transporte."
2.1,Jornada Do Paciente,8,"Estabelecer e implementar critérios claros, objetivos e documentados para aceitação, restrição ou rejeição de materiais biológicos destinados à realização de exames laboratoriais.","O serviço de análises clínicas deve definir e aplicar critérios técnicos padronizados para a avaliação da integridade, estabilidade e adequação das amostras biológicas antes da análise. Esses critérios devem contemplar, no mínimo: Condições de coleta (identificação correta, volume, recipiente e anticoagulante adequado); condições de transporte e armazenamento (tempo, temperatura e integridade do material); aspectos visuais e físicos da amostra (hemólise, coagulação, contaminação, deterioração, entre outros); definição objetiva das situações em que a amostra pode ser: Aceita, quando atende plenamente aos requisitos; aceita com restrição, quando apresenta não conformidade que não compromete o resultado, devendo constar observação no laudo; ou rejeitada, quando as condições inviabilizam a análise ou podem comprometer a segurança e a qualidade do resultado. Os critérios devem estar descritos em procedimento formal, amplamente divulgados às equipes envolvidas (coleta, transporte, recepção e análise), e revisados periodicamente. A comunicação com o solicitante e/ou equipe assistencial deve ser registrada sempre que houver amostra rejeitada, reforçando a cultura de segurança e a confiabilidade dos resultados emitidos.","Procedimento formalizado contendo os critérios de aceitação, restrição e rejeição de amostras biológicas. Registros da aplicação prática do procedimento e da verificação de conformidade das amostras recebidas. Rastreabilidade das amostras desde o recebimento até a análise ou descarte. Registros de notificações de não conformidades e respectivas ações corretivas. Relatórios de monitoramento das amostras aceitas com restrição e análise de impacto. Evidências de treinamento e comunicação do procedimento às equipes envolvidas."
2.1,Jornada Do Paciente,9,"Estabelecer e implementar procedimentos específicos para o atendimento de situações de urgência, emergência e intercorrências relacionadas à coleta, manipulação ou realização de exames laboratoriais.","O laboratório deve possuir um plano estruturado e amplamente divulgado que defina a conduta em casos de urgência, emergência e intercorrências clínicas ou técnicas que possam ocorrer durante o atendimento de pacientes ou no processamento de amostras. Deve contemplar: Critérios de identificação e priorização de casos urgentes ou emergenciais, garantindo agilidade e segurança na coleta e processamento; fluxos de comunicação imediata entre o laboratório, a equipe assistencial e o corpo clínico; procedimentos para intercorrências durante a coleta (reações vasovagais, sangramentos, acidentes com material biológico, entre outros), assegurando atendimento imediato e notificação do evento; definição de responsabilidades e condutas de cada profissional envolvido no atendimento; disponibilidade de materiais, equipamentos e insumos de suporte básico à vida e para controle de incidentes; registros de análise e investigação de eventos adversos, promovendo ações corretivas e preventivas; integração com o plano de biossegurança e gerenciamento de riscos do serviço. O atendimento de urgência e emergência deve ser conduzido com foco no cuidado centrado no paciente, assegurando acolhimento, comunicação efetiva e resposta rápida a situações que possam comprometer a segurança, a qualidade do atendimento e a integridade do paciente.","Procedimento formalizado sobre o atendimento de urgência, emergência e intercorrências laboratoriais. Registros de ocorrências, intercorrências e respectivas condutas adotadas. Planos ou protocolos de priorização e comunicação de exames de urgência. Evidências de treinamento das equipes sobre manejo de intercorrências e primeiros socorros. Registros de análise de eventos adversos, com medidas corretivas e preventivas."
2.1,Jornada Do Paciente,10,"Estabelecer e implementar o controle de qualidade interno, considerando as regras de validação.","O programa de controle de qualidade interno deve abranger todos os exames realizados, incluindo os de microscopia e métodos manuais, assegurando a confiabilidade dos resultados emitidos. O controle de qualidade interno deve incluir: Validação diária dos controles de cada analítico, conforme critérios predefinidos e regras estatísticas aplicáveis; monitoramento e análise periódica dos dados acumulados, identificando tendências, desvios, inexatidões ou imprecisões; tratativa imediata de desvios detectados antes da liberação dos resultados, com registro das ações corretivas e preventivas; revisão crítica dos controles em reuniões técnicas periódicas, promo-vendo aprendizado contínuo da equipe; documentação e rastreabilidade completas, assegurando integridade e rastreamento histórico dos controles aplicados. O controle de qualidade interno é um instrumento essencial para garantir segurança diagnóstica, confiabilidade dos resultados e decisões clínicas precisas, refletindo o compromisso do laboratório com o cuidado centrado no paciente.","Programa documentado de Controle de Qualidade Interno, com definição de responsabilidades e periodicidades. Registros de controles diários e gráficos de monitoramento. Relatórios de análises críticas e tratativas de desvios. Dados como percentual de rejeição de controles, tempo médio de correção de desvios, dentre outros. Atas de reuniões técnicas ou revisões de desempenho analítico. Treinamento documentado da equipe sobre controle e validação de resultados."
